Age,MaritalStatus,AnnualConsumption,DayNightConsumption,IncomeLevel,DwellingArea,HasChildren,SolarRoof,ShiftableLoad,RiskAttitude,AttitudeSustainability,Tariff
20,3,2403,0.200828,4,4,FALSE,FALSE,3,TRUE,2,Tariff 1
76,2,3038,0.034538,2,1,FALSE,FALSE,1,TRUE,2,Tariff 1
35,2,4550,0.476317,5,4,FALSE,FALSE,4,FALSE,1,Tariff 1
51,5,3718,0.68623,1,3,TRUE,TRUE,1,TRUE,1,Tariff 2
32,1,2600,0.830962,2,1,TRUE,FALSE,3,TRUE,1,Tariff 2
62,2,3426,0.299048,3,1,TRUE,FALSE,2,FALSE,2,Tariff 1
32,6,2647,0.810203,2,2,FALSE,FALSE,2,FALSE,3,Tariff 1
22,1,2450,0.072748,2,3,FALSE,TRUE,3,FALSE,2,Tariff 1
31,3,4272,0.449183,3,2,FALSE,FALSE,2,TRUE,2,Tariff 1
29,1,2374,0.457631,2,1,TRUE,FALSE,3,FALSE,2,Tariff 1
55,5,4737,0.780123,1,4,TRUE,TRUE,1,FALSE,3,Tariff 1
46,2,5234,0.296086,1,4,FALSE,TRUE,4,TRUE,3,Tariff 1
59,2,4166,0.47223,1,1,TRUE,FALSE,1,TRUE,3,Tariff 3
30,1,3932,0.094967,1,3,FALSE,TRUE,3,TRUE,3,Tariff 1
35,6,3623,0.039419,2,3,TRUE,FALSE,4,TRUE,2,Tariff 2
73,1,5459,0.791211,3,3,FALSE,FALSE,4,TRUE,1,Tariff 1
33,4,2861,0.807506,4,3,FALSE,FALSE,3,FALSE,1,Tariff 2
32,1,4674,0.356693,4,3,TRUE,TRUE,3,TRUE,1,Tariff 2
35,4,4357,0.325737,3,4,FALSE,TRUE,2,TRUE,1,Tariff 3
63,5,3912,0.191933,4,4,TRUE,TRUE,4,TRUE,2,Tariff 3
58,6,3475,0.368902,2,3,FALSE,TRUE,2,TRUE,3,Tariff 1
28,5,5315,0.674341,1,1,TRUE,TRUE,4,TRUE,3,Tariff 1
20,1,2337,0.071674,5,1,TRUE,TRUE,1,FALSE,1,Tariff 1
59,5,4513,0.506939,4,1,TRUE,FALSE,2,FALSE,1,Tariff 1
21,2,5317,0.016454,4,4,FALSE,FALSE,2,TRUE,1,Tariff 1
77,5,2380,0.819102,4,1,FALSE,FALSE,1,FALSE,1,Tariff 1
64,2,4077,0.444384,1,3,TRUE,TRUE,4,TRUE,2,Tariff 3
34,1,2262,0.822279,5,2,FALSE,TRUE,1,TRUE,3,Tariff 1
23,1,3130,0.845361,4,1,FALSE,TRUE,4,TRUE,2,Tariff 1
39,5,2994,0.350805,5,2,TRUE,TRUE,4,TRUE,1,Tariff 2
41,5,4723,0.410049,1,2,FALSE,FALSE,4,FALSE,1,Tariff 2
37,2,4615,0.810054,2,3,FALSE,TRUE,3,FALSE,2,Tariff 1
71,4,2579,0.582849,1,1,TRUE,FALSE,1,FALSE,2,Tariff 1
32,1,3132,0.00991,5,4,FALSE,FALSE,4,TRUE,3,Tariff 1
77,2,4704,0.861519,4,4,TRUE,FALSE,4,TRUE,1,Tariff 2
62,2,2935,0.538881,4,2,TRUE,FALSE,1,TRUE,2,Tariff 3
27,5,2629,0.153182,1,4,TRUE,TRUE,4,FALSE,2,Tariff 2
21,6,3351,0.800565,1,2,FALSE,TRUE,1,TRUE,2,Tariff 3
21,6,4919,0.258552,3,3,TRUE,FALSE,2,FALSE,2,Tariff 1
28,5,2989,0.516279,5,4,TRUE,FALSE,3,FALSE,3,Tariff 1
63,6,5360,0.241578,3,4,TRUE,FALSE,3,TRUE,3,Tariff 2
49,2,3493,0.431655,4,3,TRUE,FALSE,1,TRUE,3,Tariff 2
73,1,4219,0.609974,2,3,TRUE,TRUE,3,FALSE,1,Tariff 1
48,4,3473,0.546454,4,1,TRUE,TRUE,3,FALSE,1,Tariff 2
48,6,2616,0.92708,3,1,FALSE,TRUE,1,TRUE,1,Tariff 1
36,2,5342,0.420515,3,2,FALSE,FALSE,1,TRUE,3,Tariff 1
41,3,2936,0.975696,3,2,FALSE,FALSE,3,FALSE,3,Tariff 1
69,1,3649,0.85899,2,2,TRUE,TRUE,2,FALSE,2,Tariff 1
31,5,3478,0.162424,5,1,FALSE,TRUE,4,TRUE,1,Tariff 3
28,3,4908,0.520424,4,2,FALSE,TRUE,1,TRUE,1,Tariff 1
77,5,3438,0.983935,5,4,TRUE,FALSE,3,FALSE,1,Tariff 1
31,6,2794,0.054843,2,3,FALSE,TRUE,4,TRUE,2,Tariff 1
45,1,4341,0.055708,2,2,FALSE,FALSE,3,FALSE,1,Tariff 1
31,5,3854,0.208138,5,1,TRUE,FALSE,3,TRUE,2,Tariff 1
38,3,3135,0.145086,2,2,TRUE,TRUE,4,TRUE,3,Tariff 3
29,5,4844,0.725521,2,3,FALSE,FALSE,1,FALSE,1,Tariff 2
65,4,4762,0.554172,2,4,FALSE,TRUE,4,TRUE,3,Tariff 2
48,2,2378,0.761752,4,4,FALSE,TRUE,3,FALSE,2,Tariff 1
56,2,3448,0.998601,5,3,TRUE,FALSE,2,TRUE,3,Tariff 2
58,6,5130,0.129735,2,2,FALSE,FALSE,1,FALSE,2,Tariff 2
32,1,4916,0.244663,4,1,FALSE,TRUE,1,TRUE,2,Tariff 1
42,4,3194,0.971794,4,1,FALSE,TRUE,4,TRUE,1,Tariff 1
46,4,4976,0.352854,2,2,FALSE,FALSE,2,TRUE,2,Tariff 2
65,3,2989,0.058811,5,3,TRUE,TRUE,3,FALSE,3,Tariff 1
64,1,5089,0.568349,2,3,TRUE,FALSE,4,FALSE,3,Tariff 1
45,4,5282,0.759948,1,3,TRUE,FALSE,2,TRUE,1,Tariff 2
55,1,5081,0.070352,3,3,FALSE,TRUE,4,TRUE,2,Tariff 1
48,5,4679,0.988016,5,2,FALSE,TRUE,3,FALSE,2,Tariff 3
76,4,2948,0.799035,1,2,TRUE,FALSE,1,FALSE,3,Tariff 1
29,4,3636,0.92999,4,2,TRUE,FALSE,4,FALSE,2,Tariff 1
30,4,4947,0.011785,4,4,FALSE,FALSE,2,FALSE,1,Tariff 2
63,6,4967,0.795496,3,2,TRUE,TRUE,3,FALSE,3,Tariff 1
53,6,4711,0.65491,5,2,TRUE,FALSE,1,TRUE,3,Tariff 2
57,2,2759,0.944446,5,3,FALSE,TRUE,1,FALSE,1,Tariff 1
63,6,5064,0.882295,3,2,TRUE,FALSE,1,FALSE,3,Tariff 1
53,6,4027,0.733862,4,4,FALSE,TRUE,4,FALSE,1,Tariff 3
19,4,3637,0.402833,4,2,FALSE,FALSE,3,FALSE,3,Tariff 2
44,4,3612,0.00821,5,2,TRUE,TRUE,1,FALSE,3,Tariff 2
32,1,3051,0.821979,5,1,FALSE,TRUE,3,FALSE,3,Tariff 1
22,2,5367,0.961519,3,3,FALSE,FALSE,2,TRUE,2,Tariff 1
36,5,2902,0.772254,3,3,FALSE,FALSE,3,FALSE,2,Tariff 2
33,3,3711,0.846772,2,2,FALSE,FALSE,3,FALSE,2,Tariff 1
72,4,4034,0.650005,4,1,TRUE,FALSE,4,TRUE,2,Tariff 1
60,5,5241,0.781655,1,1,FALSE,TRUE,1,FALSE,3,Tariff 2
61,6,3433,0.922656,1,3,FALSE,FALSE,4,FALSE,2,Tariff 1
55,1,5125,0.391921,4,2,TRUE,FALSE,2,FALSE,2,Tariff 1
64,1,4846,0.70789,1,2,FALSE,TRUE,3,TRUE,3,Tariff 1
30,5,4297,0.79638,2,3,FALSE,FALSE,2,TRUE,1,Tariff 2
44,1,2326,0.103873,3,2,FALSE,TRUE,2,FALSE,1,Tariff 1
37,5,3072,0.13173,4,4,FALSE,TRUE,1,FALSE,3,Tariff 2
19,4,2987,0.252323,5,2,FALSE,TRUE,3,TRUE,2,Tariff 3
55,4,5354,0.46183,1,4,TRUE,FALSE,4,TRUE,1,Tariff 2
46,5,4109,0.512928,1,3,FALSE,TRUE,1,FALSE,3,Tariff 3
42,1,4186,0.144326,4,2,TRUE,FALSE,4,TRUE,2,Tariff 3
58,1,4205,0.321596,4,3,FALSE,TRUE,1,TRUE,3,Tariff 1
49,4,4268,0.027099,2,2,FALSE,FALSE,3,FALSE,1,Tariff 2
33,3,2793,0.184016,5,2,TRUE,FALSE,2,TRUE,2,Tariff 3
62,3,2753,0.816382,2,1,TRUE,TRUE,3,TRUE,1,Tariff 2
32,3,5005,0.942052,2,2,FALSE,FALSE,4,TRUE,1,Tariff 1
64,2,2481,0.555727,1,2,TRUE,FALSE,3,TRUE,2,Tariff 3
23,3,5125,0.550056,3,2,TRUE,FALSE,2,FALSE,2,Tariff 1
72,6,4767,0.94748,4,1,TRUE,TRUE,4,TRUE,2,Tariff 2
24,5,5119,0.452123,2,1,TRUE,FALSE,1,TRUE,1,Tariff 1
48,4,4317,0.662986,1,2,TRUE,FALSE,2,TRUE,3,Tariff 2
75,6,4292,0.584679,1,2,TRUE,FALSE,2,TRUE,3,Tariff 2
50,3,2973,0.360434,3,4,FALSE,FALSE,4,TRUE,1,Tariff 1
25,6,3747,0.601382,4,1,FALSE,TRUE,3,FALSE,3,Tariff 1
28,1,3213,0.755566,2,4,TRUE,TRUE,4,TRUE,1,Tariff 3
70,6,2810,0.172852,3,2,FALSE,TRUE,1,TRUE,3,Tariff 3
68,5,3591,0.275343,2,2,FALSE,FALSE,2,TRUE,2,Tariff 2
76,4,3678,0.930693,4,3,FALSE,TRUE,1,FALSE,2,Tariff 2
55,2,3756,0.93233,1,2,TRUE,FALSE,2,FALSE,1,Tariff 1
50,5,3902,0.566284,4,1,FALSE,TRUE,4,FALSE,2,Tariff 3
54,1,5323,0.561615,5,3,FALSE,TRUE,1,TRUE,2,Tariff 1
36,2,3467,0.756911,4,2,TRUE,TRUE,2,TRUE,2,Tariff 3
73,1,3046,0.295608,5,1,TRUE,TRUE,3,TRUE,2,Tariff 1
35,2,2708,0.456554,1,1,FALSE,FALSE,1,FALSE,1,Tariff 1
53,1,2320,0.557377,5,2,FALSE,FALSE,4,FALSE,2,Tariff 1
26,6,3306,0.871718,4,4,TRUE,FALSE,4,TRUE,1,Tariff 2
25,6,2526,0.23208,3,2,TRUE,FALSE,4,FALSE,3,Tariff 1
50,2,4840,0.344391,3,1,TRUE,TRUE,2,FALSE,2,Tariff 1
45,6,4058,0.439639,4,4,TRUE,FALSE,1,FALSE,1,Tariff 1
33,4,4420,0.819078,5,3,TRUE,TRUE,4,FALSE,1,Tariff 2
60,4,4413,0.250634,4,4,TRUE,FALSE,1,FALSE,3,Tariff 1
55,6,2987,0.497806,5,1,FALSE,FALSE,3,TRUE,3,Tariff 1
65,6,2652,0.141278,1,4,FALSE,TRUE,3,FALSE,2,Tariff 1
35,4,2473,0.339394,3,4,TRUE,TRUE,3,TRUE,3,Tariff 3
28,6,2324,0.211622,4,2,FALSE,FALSE,1,TRUE,2,Tariff 1
36,4,4154,0.874774,3,1,FALSE,TRUE,3,FALSE,1,Tariff 1
28,1,5321,0.542349,4,2,FALSE,TRUE,1,FALSE,1,Tariff 1
59,6,3343,0.260878,2,2,FALSE,FALSE,3,FALSE,3,Tariff 2
40,4,2990,0.247797,4,3,FALSE,FALSE,3,FALSE,1,Tariff 2
77,2,2901,0.937924,3,4,FALSE,TRUE,3,TRUE,1,Tariff 1
20,1,3139,0.113429,4,1,FALSE,FALSE,4,FALSE,1,Tariff 1
49,6,3322,0.779738,1,1,FALSE,TRUE,3,FALSE,3,Tariff 1
41,6,3685,0.361744,3,3,TRUE,TRUE,1,FALSE,1,Tariff 2
58,5,5265,0.309215,4,2,FALSE,FALSE,4,FALSE,3,Tariff 2
56,6,3147,0.357635,3,3,FALSE,FALSE,1,FALSE,3,Tariff 2
75,4,3658,0.700685,4,3,FALSE,FALSE,1,TRUE,1,Tariff 2
34,4,5219,0.587972,3,2,TRUE,TRUE,1,FALSE,2,Tariff 2
64,3,2411,0.701802,3,1,TRUE,FALSE,4,TRUE,3,Tariff 2
45,6,4140,0.285678,2,3,TRUE,TRUE,4,TRUE,1,Tariff 1
70,5,5062,0.80791,2,4,FALSE,TRUE,3,TRUE,2,Tariff 2
27,1,4846,0.729885,4,4,FALSE,TRUE,3,TRUE,3,Tariff 1
40,4,3793,0.524358,5,3,FALSE,FALSE,3,TRUE,2,Tariff 2
49,4,2880,0.764718,5,1,FALSE,FALSE,2,FALSE,3,Tariff 1
42,2,4569,0.104029,1,4,TRUE,TRUE,2,FALSE,3,Tariff 1
67,6,2791,0.022676,3,1,FALSE,FALSE,1,FALSE,3,Tariff 2
48,6,2597,0.9798,1,2,FALSE,FALSE,1,FALSE,1,Tariff 2
59,4,5224,0.907032,3,2,TRUE,TRUE,1,TRUE,2,Tariff 3
31,6,2639,0.190664,2,1,FALSE,FALSE,1,FALSE,3,Tariff 1
75,1,2487,0.632756,3,4,FALSE,FALSE,2,FALSE,3,Tariff 1
47,1,4353,0.375966,1,1,FALSE,TRUE,1,TRUE,3,Tariff 1
28,2,2786,0.708399,2,4,TRUE,TRUE,3,FALSE,3,Tariff 3
67,3,4798,0.569184,5,3,FALSE,FALSE,2,TRUE,2,Tariff 1
28,5,4801,0.682662,1,3,FALSE,FALSE,3,FALSE,3,Tariff 2
36,2,4198,0.729954,3,4,TRUE,FALSE,2,FALSE,3,Tariff 1
20,3,3091,0.908855,4,4,TRUE,FALSE,4,FALSE,2,Tariff 1
46,2,5471,0.113776,5,3,FALSE,FALSE,4,TRUE,3,Tariff 1
58,2,5117,0.487432,5,1,TRUE,FALSE,1,TRUE,1,Tariff 2
44,3,5285,0.580924,4,1,FALSE,FALSE,3,TRUE,3,Tariff 1
68,2,3134,0.52986,4,1,FALSE,TRUE,1,TRUE,1,Tariff 1
70,1,4894,0.411394,1,2,TRUE,FALSE,4,FALSE,3,Tariff 1
33,6,2410,0.904287,3,3,TRUE,FALSE,3,FALSE,2,Tariff 1
74,3,2387,0.227858,1,2,TRUE,TRUE,2,FALSE,1,Tariff 3
49,2,2243,0.742172,3,1,FALSE,TRUE,1,TRUE,1,Tariff 1
77,5,3124,0.074277,2,3,FALSE,TRUE,4,TRUE,1,Tariff 2
64,5,4987,0.132008,3,3,TRUE,TRUE,4,TRUE,2,Tariff 2
